FromNode,ToNode,Style
BOOST_CIVIC_CAPITALISM,CIVIC_CAPITALISM,dashed
BOOST_CIVIC_CIVIL_ENGINEERING,CIVIC_CIVIL_ENGINEERING,dashed
BOOST_CIVIC_CIVIL_SERVICE,CIVIC_CIVIL_SERVICE,dashed
BOOST_CIVIC_CLASS_STRUGGLE,CIVIC_CLASS_STRUGGLE,dashed
BOOST_CIVIC_COLD_WAR,CIVIC_COLD_WAR,dashed
BOOST_CIVIC_COLONIALISM,CIVIC_COLONIALISM,dashed
BOOST_CIVIC_CONSERVATION,CIVIC_CONSERVATION,dashed
BOOST_CIVIC_CRAFTSMANSHIP,CIVIC_CRAFTSMANSHIP,dashed
BOOST_CIVIC_CULTURAL_HERITAGE,CIVIC_CULTURAL_HERITAGE,dashed
BOOST_CIVIC_DEFENSIVE_TACTICS,CIVIC_DEFENSIVE_TACTICS,dashed
BOOST_CIVIC_DIPLOMATIC_SERVICE,CIVIC_DIPLOMATIC_SERVICE,dashed
BOOST_CIVIC_DIVINE_RIGHT,CIVIC_DIVINE_RIGHT,dashed
BOOST_CIVIC_DRAMA_POETRY,CIVIC_DRAMA_POETRY,dashed
BOOST_CIVIC_EARLY_EMPIRE,CIVIC_EARLY_EMPIRE,dashed
BOOST_CIVIC_EXPLORATION,CIVIC_EXPLORATION,dashed
BOOST_CIVIC_FEUDALISM,CIVIC_FEUDALISM,dashed
BOOST_CIVIC_FOREIGN_TRADE,CIVIC_FOREIGN_TRADE,dashed
BOOST_CIVIC_GAMES_RECREATION,CIVIC_GAMES_RECREATION,dashed
BOOST_CIVIC_GLOBALIZATION,CIVIC_GLOBALIZATION,dashed
BOOST_CIVIC_GUILDS,CIVIC_GUILDS,dashed
BOOST_CIVIC_HUMANISM,CIVIC_HUMANISM,dashed
BOOST_CIVIC_MASS_MEDIA,CIVIC_MASS_MEDIA,dashed
BOOST_CIVIC_MEDIEVAL_FAIRES,CIVIC_MEDIEVAL_FAIRES,dashed
BOOST_CIVIC_MERCANTILISM,CIVIC_MERCANTILISM,dashed
BOOST_CIVIC_MERCENARIES,CIVIC_MERCENARIES,dashed
BOOST_CIVIC_MILITARY_TRADITION,BOOST_CIVIC_MERCENARIES,solid
BOOST_CIVIC_MILITARY_TRADITION,CIVIC_MILITARY_TRADITION,dashed
BOOST_CIVIC_MILITARY_TRAINING,CIVIC_MILITARY_TRAINING,dashed
BOOST_CIVIC_MOBILIZATION,CIVIC_MOBILIZATION,dashed
BOOST_CIVIC_MYSTICISM,CIVIC_MYSTICISM,dashed
BOOST_CIVIC_NATIONALISM,CIVIC_NATIONALISM,dashed
BOOST_CIVIC_NATURAL_HISTORY,CIVIC_NATURAL_HISTORY,dashed
BOOST_CIVIC_NAVAL_TRADITION,CIVIC_NAVAL_TRADITION,dashed
BOOST_CIVIC_NUCLEAR_PROGRAM,CIVIC_NUCLEAR_PROGRAM,dashed
BOOST_CIVIC_OPERA_BALLET,CIVIC_OPERA_BALLET,dashed
BOOST_CIVIC_POLITICAL_PHILOSOPHY,CIVIC_POLITICAL_PHILOSOPHY,dashed
BOOST_CIVIC_PROFESSIONAL_SPORTS,CIVIC_PROFESSIONAL_SPORTS,dashed
BOOST_CIVIC_RAPID_DEPLOYMENT,CIVIC_RAPID_DEPLOYMENT,dashed
BOOST_CIVIC_RECORDED_HISTORY,CIVIC_RECORDED_HISTORY,dashed
BOOST_CIVIC_REFORMED_CHURCH,CIVIC_REFORMED_CHURCH,dashed
BOOST_CIVIC_SCORCHED_EARTH,CIVIC_SCORCHED_EARTH,dashed
BOOST_CIVIC_SOCIAL_MEDIA,CIVIC_SOCIAL_MEDIA,dashed
BOOST_CIVIC_SPACE_RACE,CIVIC_SPACE_RACE,dashed
BOOST_CIVIC_STATE_WORKFORCE,CIVIC_STATE_WORKFORCE,dashed
BOOST_CIVIC_SUFFRAGE,CIVIC_SUFFRAGE,dashed
BOOST_CIVIC_THE_ENLIGHTENMENT,CIVIC_THE_ENLIGHTENMENT,dashed
BOOST_CIVIC_THEOLOGY,CIVIC_THEOLOGY,dashed
BOOST_CIVIC_TOTALITARIANISM,CIVIC_TOTALITARIANISM,dashed
BOOST_CIVIC_URBANIZATION,CIVIC_URBANIZATION,dashed
BOOST_TECH_ADVANCED_BALLISTICS,TECH_ADVANCED_BALLISTICS,dashed
BOOST_TECH_ADVANCED_FLIGHT,TECH_ADVANCED_FLIGHT,dashed
BOOST_TECH_APPRENTICESHIP,TECH_APPRENTICESHIP,dashed
BOOST_TECH_ARCHERY,TECH_ARCHERY,dashed
BOOST_TECH_ASTROLOGY,TECH_ASTROLOGY,dashed
BOOST_TECH_ASTRONOMY,TECH_ASTRONOMY,dashed
BOOST_TECH_BALLISTICS,TECH_BALLISTICS,dashed
BOOST_TECH_BANKING,TECH_BANKING,dashed
BOOST_TECH_BRONZE_WORKING,TECH_BRONZE_WORKING,dashed
BOOST_TECH_CARTOGRAPHY,TECH_CARTOGRAPHY,dashed
BOOST_TECH_CASTLES,TECH_CASTLES,dashed
BOOST_TECH_CELESTIAL_NAVIGATION,TECH_CELESTIAL_NAVIGATION,dashed
BOOST_TECH_CHEMISTRY,TECH_CHEMISTRY,dashed
BOOST_TECH_COMBINED_ARMS,TECH_COMBINED_ARMS,dashed
BOOST_TECH_COMBUSTION,TECH_COMBUSTION,dashed
BOOST_TECH_COMPOSITES,TECH_COMPOSITES,dashed
BOOST_TECH_COMPUTERS,TECH_COMPUTERS,dashed
BOOST_TECH_CONSTRUCTION,TECH_CONSTRUCTION,dashed
BOOST_TECH_CURRENCY,TECH_CURRENCY,dashed
BOOST_TECH_ECONOMICS,TECH_ECONOMICS,dashed
BOOST_TECH_EDUCATION,TECH_EDUCATION,dashed
BOOST_TECH_ELECTRICITY,TECH_ELECTRICITY,dashed
BOOST_TECH_ENGINEERING,TECH_ENGINEERING,dashed
BOOST_TECH_FLIGHT,TECH_FLIGHT,dashed
BOOST_TECH_GUIDANCE_SYSTEMS,TECH_GUIDANCE_SYSTEMS,dashed
BOOST_TECH_GUNPOWDER,TECH_GUNPOWDER,dashed
BOOST_TECH_HORSEBACK_RIDING,TECH_HORSEBACK_RIDING,dashed
BOOST_TECH_INDUSTRIALIZATION,TECH_INDUSTRIALIZATION,dashed
BOOST_TECH_IRON_WORKING,BOOST_TECH_STEEL,solid
BOOST_TECH_IRON_WORKING,TECH_IRON_WORKING,dashed
BOOST_TECH_IRRIGATION,TECH_IRRIGATION,dashed
BOOST_TECH_LASERS,TECH_LASERS,dashed
BOOST_TECH_MACHINERY,TECH_MACHINERY,dashed
BOOST_TECH_MASONRY,TECH_MASONRY,dashed
BOOST_TECH_MASS_PRODUCTION,TECH_MASS_PRODUCTION,dashed
BOOST_TECH_MATHEMATICS,TECH_MATHEMATICS,dashed
BOOST_TECH_METAL_CASTING,TECH_METAL_CASTING,dashed
BOOST_TECH_MILITARY_ENGINEERING,TECH_MILITARY_ENGINEERING,dashed
BOOST_TECH_MILITARY_SCIENCE,TECH_MILITARY_SCIENCE,dashed
BOOST_TECH_MILITARY_TACTICS,TECH_MILITARY_TACTICS,dashed
BOOST_TECH_NANOTECHNOLOGY,TECH_NANOTECHNOLOGY,dashed
BOOST_TECH_NUCLEAR_FISSION,TECH_NUCLEAR_FISSION,dashed
BOOST_TECH_NUCLEAR_FUSION,TECH_NUCLEAR_FUSION,dashed
BOOST_TECH_PLASTICS,TECH_PLASTICS,dashed
BOOST_TECH_PRINTING,TECH_PRINTING,dashed
BOOST_TECH_RADIO,TECH_RADIO,dashed
BOOST_TECH_REPLACEABLE_PARTS,TECH_REPLACEABLE_PARTS,dashed
BOOST_TECH_RIFLING,TECH_RIFLING,dashed
BOOST_TECH_ROBOTICS,TECH_ROBOTICS,dashed
BOOST_TECH_ROCKETRY,TECH_ROCKETRY,dashed
BOOST_TECH_SAILING,TECH_SAILING,dashed
BOOST_TECH_SANITATION,BOOST_CIVIC_CONSERVATION,solid
BOOST_TECH_SANITATION,TECH_SANITATION,dashed
BOOST_TECH_SATELLITES,TECH_SATELLITES,dashed
BOOST_TECH_SCIENTIFIC_THEORY,TECH_SCIENTIFIC_THEORY,dashed
BOOST_TECH_SHIPBUILDING,TECH_SHIPBUILDING,dashed
BOOST_TECH_SIEGE_TACTICS,TECH_SIEGE_TACTICS,dashed
BOOST_TECH_SQUARE_RIGGING,TECH_SQUARE_RIGGING,dashed
BOOST_TECH_STEALTH_TECHNOLOGY,TECH_STEALTH_TECHNOLOGY,dashed
BOOST_TECH_STEAM_POWER,TECH_STEAM_POWER,dashed
BOOST_TECH_STEEL,TECH_STEEL,dashed
BOOST_TECH_STEEL,TECH_STEEL,dashed
