Node,Name,EstCost,Type,EraType,Category,Description
BOOST_CIVIC_FOREIGN_TRADE,New continent discovered,0,P,ERA_ANCIENT,Boost,Model as 50% likelyhood
BOOST_TECH_ARCHERY,Slinger kill made,0,P,ERA_ANCIENT,Boost,"Need at least one, usually more than one"
BOOST_TECH_ASTROLOGY,Natural wonder found,0,P,ERA_ANCIENT,Boost,"Est. cost of 1 scout, model as 50% of scout"
BOOST_TECH_WRITING,Civ met,0,P,ERA_ANCIENT,Boost,"Est. cost of 1 scout, model as 50% of scout"
RESOURCE_IRON,Iron revealed,0,P,ERA_ANCIENT,Boost,
BOOST_TECH_IRRIGATION,Resource farmed,20,P,ERA_ANCIENT,Boost,Est. 5 builders needed for all boosts at cost of ~300P so 20P per charge
BOOST_TECH_MASONRY,Quarry mined,20,P,ERA_ANCIENT,Boost,Est. 5 builders needed for all boosts at cost of ~300P so 20P per charge
BOOST_TECH_THE_WHEEL,Hill mined,20,P,ERA_ANCIENT,Boost,Est. 5 builders needed for all boosts at cost of ~300P so 20P per charge
BOOST_CIVIC_MYSTICISM,Pantheon created,25,Fa,ERA_ANCIENT,Boost,Est. based on faith needed to get a pantheon
UNIT_SCOUT,Scout built,30,P,ERA_ANCIENT,Boost,
UNIT_SLINGER,Slinger built,35,P,ERA_ANCIENT,Boost,
UNIT_TRADER,Trader built,40,P,ERA_ANCIENT,Boost,
BOOST_CIVIC_STATE_WORKFORCE,District built,54,P,ERA_ANCIENT,Boost,Est. based on base costs
BOOST_CIVIC_CRAFTSMANSHIP,3 Tiles improved,60,P,ERA_ANCIENT,Boost,Est. 5 builders needed for all boosts at cost of ~300P so 20P per charge
UNIT_SPEARMAN,Spearman built,65,P,ERA_ANCIENT,Boost,
BOOST_CIVIC_EARLY_EMPIRE,6 pop reached,80,F,ERA_ANCIENT,Boost,Est. cost of getting to 6 population (15+8*n+n^1.5)
BOOST_CIVIC_MILITARY_TRADITION,Barb camp cleared,80,P,ERA_ANCIENT,Boost,Assume 2 warriors needed? this is pre-requisite to MERCENARIES boost?
BOOST_TECH_BRONZE_WORKING,3 Barbs killed,80,P,ERA_ANCIENT,Boost,Model as 2 warriors needed
BOOST_TECH_SAILING,Settled on coast,80,P,ERA_ANCIENT,Boost,Model as the cost of 1 settler
BOOST_CIVIC_COLD_WAR,Nuclear Fission researched,0,GPP,ERA_ATOMIC,Boost,TBD
BOOST_CIVIC_CULTURAL_HERITAGE,1 Themed Museum made,0,P,ERA_ATOMIC,Boost,TBD
BOOST_TECH_COMPUTERS,Gov with 8 policy slots,0,P,ERA_ATOMIC,Boost,"Suffrage, Totalitarianism, or Class Striggle, model on Suffrage"
RESOURCE_URANIUM,Uranium revealed,0,P,ERA_ATOMIC,Boost,
BOOST_TECH_PLASTICS,Oil Well built,20,P,ERA_ATOMIC,Boost,Est. 5 builders needed for all boosts at cost of ~300P so 20P per charge
BOOST_TECH_SYNTHETIC_MATERIALS,2 Aerodromes built,108,P,ERA_ATOMIC,Boost,Est. cost of 2 (all pre-requites?)
BOOST_TECH_COMBINED_ARMS,Airstrip improved,170,P,ERA_ATOMIC,Boost,Est. cost of a Military Engineer (all pre-requisites
BOOST_CIVIC_PROFESSIONAL_SPORTS,4 ECs built,216,P,ERA_ATOMIC,Boost,Est. cost of 4 (all pre-requisites?)
UNIT_FIGHTER,Fighter built,520,P,ERA_ATOMIC,Boost,
BOOST_TECH_ADVANCED_BALLISTICS,2 Powerplants built,580,P,ERA_ATOMIC,Boost,Cost already partially covered by previous nodes in chain
BOOST_CIVIC_RAPID_DEPLOYMENT,Airstrip on foreign continent built,600,P,ERA_ATOMIC,Boost,
BOOST_TECH_NUCLEAR_FISSION,Great scientist or spy used,999,GPP,ERA_ATOMIC,Boost,Great Scientist or Spy?
BOOST_TECH_ROCKETRY,Great scientist or spy used,999,GPP,ERA_ATOMIC,Boost,Great Scientist or Spy?
BOOST_TECH_ADVANCED_FLIGHT,3 Biplanes built,1290,P,ERA_ATOMIC,Boost,Est. cost of 3 (all pre-requisites?)
BOOST_CIVIC_SPACE_RACE,Spaceport built,1800,P,ERA_ATOMIC,Boost,Est. cost of 1 (all pre-requisites?)
BOOST_CIVIC_DEFENSIVE_TACTICS,DoW received,0,P,ERA_CLASSICAL,Boost,Model as 50% likelyhood
BOOST_CIVIC_GAMES_RECREATION,Construction researched,0,S,ERA_CLASSICAL,Boost,TBD
BOOST_CIVIC_MILITARY_TRAINING,Encampment built,0,P,ERA_CLASSICAL,Boost,Already covered in chain
BOOST_CIVIC_POLITICAL_PHILOSOPHY,3 City states found,0,P,ERA_CLASSICAL,Boost,Model as 50% likelyhood
